epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7933,0.63091,1.76258,0.87584,0.71055,0.8092,0.76295,0.6893,0.49351,1.25917,0.8177,0.000406977,0.000406977,0.000406977
2,64.4096,0.56831,0.93245,0.8435,0.49305,0.33498,0.33312,0.27905,0.73143,2.9329,0.91012,0.000810053,0.000810053,0.000810053
3,82.3268,0.55191,0.7972,0.84108,0.63783,0.77859,0.69522,0.61301,0.51841,1.30141,0.8225,0.00119938,0.00119938,0.00119938
4,98.8565,0.54344,0.78283,0.84002,0.62601,0.65355,0.71413,0.63389,0.53496,1.92683,0.82878,0.00118812,0.00118812,0.00118812
5,115.855,0.54898,0.76515,0.84238,0.76605,0.76261,0.82556,0.73108,0.51918,1.09559,0.82215,0.0011675,0.0011675,0.0011675
6,133.102,0.54095,0.63195,0.84395,0.64891,0.76459,0.7753,0.69634,0.51977,1.39838,0.82276,0.00114688,0.00114688,0.00114688
7,149.733,0.52581,0.65711,0.83376,0.854,0.80361,0.93019,0.82986,0.48454,0.8354,0.80445,0.00112625,0.00112625,0.00112625
8,166.868,0.53238,0.57705,0.83833,0.88291,0.93338,0.97139,0.87372,0.49226,0.46824,0.81027,0.00110563,0.00110563,0.00110563
9,183.876,0.52843,0.55304,0.83817,0.8729,0.89837,0.964,0.85195,0.50175,0.66891,0.81007,0.001085,0.001085,0.001085
10,201.506,0.50752,0.5161,0.83315,0.87322,0.85591,0.95163,0.86432,0.47802,0.74113,0.81322,0.00106437,0.00106437,0.00106437
11,218.793,0.51633,0.53682,0.83393,0.90481,0.86491,0.94021,0.85058,0.46789,0.57609,0.80856,0.00104375,0.00104375,0.00104375
12,235.696,0.50698,0.5086,0.8347,0.86985,0.9473,0.94842,0.8572,0.47408,0.44653,0.80515,0.00102312,0.00102312,0.00102312
13,252.314,0.49084,0.48728,0.8281,0.74729,0.86211,0.92416,0.83844,0.48289,0.91179,0.81242,0.0010025,0.0010025,0.0010025
14,269.194,0.4929,0.48113,0.82854,0.82536,0.88287,0.93857,0.85906,0.44766,0.64922,0.80657,0.000981875,0.000981875,0.000981875
15,285.875,0.49321,0.48007,0.82928,0.89705,0.87297,0.94673,0.83397,0.55761,0.53321,0.82112,0.00096125,0.00096125,0.00096125
16,302.603,0.50708,0.47001,0.8365,0.92613,0.93139,0.97264,0.8899,0.46366,0.38259,0.8096,0.000940625,0.000940625,0.000940625
17,319.473,0.47839,0.45549,0.82579,0.8769,0.94137,0.96534,0.88474,0.45114,0.51669,0.80831,0.00092,0.00092,0.00092
18,337.665,0.48303,0.43818,0.83002,0.96242,0.94753,0.98477,0.89783,0.43805,0.32578,0.79986,0.000899375,0.000899375,0.000899375
19,355.109,0.48265,0.44773,0.82566,0.75214,0.7818,0.84538,0.75372,0.50529,1.24923,0.82037,0.00087875,0.00087875,0.00087875
20,371.83,0.48076,0.44314,0.82822,0.9189,0.9582,0.9802,0.90289,0.43579,0.37194,0.80259,0.000858125,0.000858125,0.000858125
21,388.697,0.47667,0.43966,0.82781,0.87323,0.87502,0.966,0.87416,0.47756,0.53367,0.80282,0.0008375,0.0008375,0.0008375
22,405.625,0.46934,0.41636,0.82213,0.86806,0.90554,0.96626,0.88954,0.42947,0.52748,0.79807,0.000816875,0.000816875,0.000816875
23,422.081,0.47756,0.40414,0.82741,0.86747,0.91353,0.9602,0.88191,0.45983,0.61474,0.80374,0.00079625,0.00079625,0.00079625
24,438.935,0.46906,0.4008,0.82585,0.90081,0.89453,0.95776,0.87257,0.4688,0.54723,0.80324,0.000775625,0.000775625,0.000775625
25,455.814,0.47188,0.39062,0.82711,0.94552,0.95563,0.98714,0.90608,0.43637,0.32313,0.79666,0.000755,0.000755,0.000755
26,473.34,0.4525,0.37526,0.82082,0.87176,0.91298,0.97386,0.8936,0.43704,0.55288,0.80099,0.000734375,0.000734375,0.000734375
